Latitude,Longitude,PS,WS50M,Z0M,T10M
36.438457,-99.717712,93.09,7.602857142857142,0.05,15.037142857142856
42.889656,-74.840363,96.63,4.668571428571428,1.95,7.148571428571429
44.639717,-70.782288,96.99285714285716,4.355714285714286,2.02,5.49
35.479839,-98.648254,95.7242857142857,7.3428571428571425,0.06,15.78
45.165577,-96.964386,95.53857142857144,7.380000000000001,0.04,6.8
37.011974,-101.646606,89.33,7.4071428571428575,0.04,14.297142857142855
37.492218,-103.112183,85.24142857142859,7.254285714285714,0.03,13.044285714285715
41.7962,-95.015167,96.96,7.187142857142858,0.05,9.35142857142857
35.879219,-115.49823,87.76428571428572,5.042857142857143,0.02,16.34714285714286
38.006302,-121.941818,100.37142857142858,5.372857142857143,0.06,14.327142857142857
41.604542,-115.028854,80.70142857142856,5.401428571428572,0.05,7.0442857142857145
43.319752,-99.698242,94.47142857142858,7.261428571428572,0.04,9.96
42.936214,-107.412674,80.13857142857144,6.894285714285714,0.05,6.441428571428572
43.210644,-100.611877,91.88142857142856,7.568571428571428,0.04,9.75
42.59515,-78.74646,96.62571428571428,5.17,1.61,8.418571428571429
43.75082,-103.653931,83.82142857142857,5.587142857142857,1.2900000000000005,6.377142857142857
43.888355,-75.935394,98.28571428571428,4.807142857142857,1.72,7.395714285714285
43.337257,-93.606812,97.26,7.1657142857142855,0.04,7.942857142857142
40.096951,-112.837982,85.34285714285714,4.8342857142857145,0.02,11.625714285714285
40.478184,-93.059998,98.08428571428573,6.734285714285714,0.06,10.664285714285716
34.672482,-102.5401,88.25857142857141,7.215714285714285,0.05,15.204285714285716
33.886028,-103.743408,87.13714285714286,6.774285714285715,0.03,15.524285714285714
37.678459,-104.750061,76.0942857142857,6.3,0.47,7.729999999999999
37.576054,-99.877747,92.78571428571428,7.444285714285714,0.05,13.90857142857143
40.106949,-83.646729,97.95285714285716,6.482857142857142,0.05,10.948571428571428
48.037392,-96.347961,97.68,7.034285714285715,0.04,4.862857142857143
38.164696,-102.763824,87.94000000000001,6.925714285714286,0.04,13.432857142857143
45.460758,-94.738342,97.03714285714284,7.061428571428571,0.04,6.375714285714285
41.495144,-93.605804,98.11428571428571,6.9071428571428575,0.05,10.004285714285714
42.811237,-78.318237,98.64285714285714,5.01,1.87,9.038571428571428
45.410736,-103.161072,91.25142857142858,7.312857142857142,0.03,8.09
40.439678,-94.939545,97.75571428571428,6.905714285714287,0.05,11.002857142857142
37.600166,-106.357727,73.3157142857143,5.691428571428572,0.51,5.247142857142857
44.405327,-92.440277,97.98857142857145,6.840000000000001,0.05,7.148571428571429
41.449478,-122.469482,86.79142857142857,3.4314285714285715,1.25,8.938571428571429
35.491749,-117.242798,91.46428571428572,5.325714285714286,0.02,18.11142857142857
41.729717,-77.135468,95.87,4.485714285714286,2.06,8.418571428571429
47.075424,-68.687866,97.76714285714286,4.831428571428572,1.65,3.738571428571429
47.32745,-95.162048,96.43571428571428,7.251428571428571,0.05,4.605714285714286
46.026604,-96.013428,97.71714285714286,7.0442857142857145,0.04,6.65
38.496147,-116.381378,80.47714285714287,5.198571428571428,0.03,10.335714285714284
47.128567,-120.223251,94.86857142857144,4.587142857142857,0.27,9.284285714285714
34.787571,-117.333572,91.60857142857142,5.868571428571428,0.03,17.19857142857143
36.061977,-76.469025,101.66285714285712,5.734285714285714,0.82,16.624285714285715
42.732517,-88.224487,98.74857142857142,7.012857142857143,0.04,8.93142857142857
42.006008,-106.399902,77.98857142857143,7.72,0.11,4.908571428571428
33.853001,-107.548813,78.30571428571429,6.5200000000000005,0.03,10.98
34.905651,-101.756836,89.14857142857143,7.39,0.04,15.124285714285715
35.787743,-116.311096,92.58142857142856,4.444285714285714,0.02,19.51142857142857
34.669548,-105.089355,83.42714285714285,7.297142857142857,0.03,13.781428571428572
35.606285,-96.440277,98.68714285714286,7.024285714285715,0.06,16.13714285714286
43.574482,-93.391327,97.21285714285716,7.127142857142857,0.04,7.674285714285714
39.28904,-104.617737,82.06142857142856,6.242857142857143,0.03,10.632857142857144
34.862476,-103.231201,87.27857142857144,7.284285714285715,0.04,14.84142857142857
45.277309,-103.489655,90.37571428571428,7.362857142857143,0.03,8.105714285714287
45.368473,-97.180023,96.68,7.295714285714285,0.04,6.965714285714285
34.982353,-105.290497,83.28285714285714,7.177142857142857,0.04,13.655714285714286
46.949493,-110.720215,82.45142857142858,6.158571428571428,1.02,3.577142857142857
44.053894,-98.81189,95.76285714285714,7.1000000000000005,0.04,8.617142857142857
44.678574,-102.59552,92.28,7.062857142857142,0.03,9.49
41.386662,-106.966614,77.47285714285714,7.011428571428572,0.42,4.788571428571428
