Latitude,Longitude,Month,Mean Power Proportion,SW_DWN,LW_DWN,SW_DIFF,SW_DNI,Cloud,Clearness,Humidity,Precipitation,Temp
33.65,-117.25,feb,0.1709622182942996,4.38,7.11,1.43,6.15,45.29,0.65,55.37,1.68,14.12
33.65,-117.25,mar,0.1598074090440418,5.05,7.19,1.94,5.39,56.51,0.59,71.19,1.98,11.59
33.65,-117.25,apr,0.19517123287671237,5.95,7.57,2.02,6.09,46.37,0.59,72.82,1.4,14.22
33.65,-117.25,may,0.20335432316983357,6.43,8.21,2.08,6.28,51.8,0.58,70.26,0.43,17.56
33.65,-117.25,jun,0.2087417145382236,7.14,8.43,1.87,7.43,41.94,0.62,60.62,0.04,21.77
33.65,-117.25,jul,0.20145382235969952,7.32,8.81,1.88,7.6,32.34,0.65,58.49,0.27,25.66
33.65,-117.25,aug,0.21804720871998823,7.26,8.27,1.31,8.78,24.35,0.7,59.24,0.01,22.61
33.65,-117.25,sep,0.20802953306819857,6.1,8.16,1.31,7.7,23.89,0.68,55.24,0.09,22.11
33.65,-117.25,oct,0.1697142436294005,4.6,7.75,1.18,6.52,32.19,0.63,61.7,0.14,18.05
33.65,-117.25,nov,0.1560439681838268,3.68,7.52,0.97,6.22,32.34,0.65,54.04,0.14,17.21
33.65,-117.25,dec,0.14467226395640004,3.22,6.87,0.86,6.0,26.46,0.65,52.14,0.67,13.36
33.65,-117.75,jan,0.14255121559916076,3.56,6.9,0.88,6.3,30.59,0.66,61.1,0.96,13.02
33.65,-117.75,feb,0.163272707639146,4.38,7.11,1.43,6.15,45.29,0.65,55.37,1.68,14.12
33.65,-117.75,mar,0.16445668271010735,5.05,7.19,1.94,5.39,56.51,0.59,71.19,1.98,11.59
33.65,-117.75,apr,0.18075111069974084,5.95,7.57,2.02,6.09,46.37,0.59,72.82,1.4,14.22
33.65,-117.75,may,0.17323275330124646,6.43,8.21,2.08,6.28,51.8,0.58,70.26,0.43,17.56
33.65,-117.75,jun,0.1884058373441935,7.14,8.43,1.87,7.43,41.94,0.62,60.62,0.04,21.77
33.65,-117.75,jul,0.21142678637541654,7.32,8.81,1.88,7.6,32.34,0.65,58.49,0.27,25.66
33.65,-117.75,aug,0.2019639331111934,7.26,8.27,1.31,8.78,24.35,0.7,59.24,0.01,22.61
33.65,-117.75,sep,0.19757250401086018,6.1,8.16,1.31,7.7,23.89,0.68,55.24,0.09,22.11
33.65,-117.75,oct,0.16546371714179936,4.6,7.75,1.18,6.52,32.19,0.63,61.7,0.14,18.05
33.65,-117.75,nov,0.14852045538689376,3.68,7.52,0.97,6.22,32.34,0.65,54.04,0.14,17.21
33.65,-117.75,dec,0.1355365296803653,3.22,6.87,0.86,6.0,26.46,0.65,52.14,0.67,13.36
33.55,-115.05,jan,0.1650831811263318,3.72,6.61,0.85,6.74,26.86,0.69,33.73,0.0,11.91
33.55,-115.05,feb,0.1835619482496195,4.6,6.89,1.34,6.72,39.24,0.68,24.65,0.02,14.39
33.55,-115.05,mar,0.1949720700152207,5.55,7.02,1.81,6.5,45.33,0.65,42.68,0.19,14.01
33.55,-115.05,apr,0.22752998477929987,7.32,7.38,1.43,9.03,21.49,0.73,36.12,0.01,19.35
33.55,-115.05,may,0.21517549467275496,8.26,8.16,1.38,10.07,17.06,0.74,26.21,0.15,26.68
33.55,-115.05,jun,0.19934619482496196,8.13,8.95,1.66,9.21,23.27,0.71,20.69,0.06,32.76
33.55,-115.05,jul,0.1960333333333333,7.56,10.12,1.84,8.06,37.16,0.67,30.02,0.1,36.02
33.55,-115.05,aug,0.20112488584474883,7.61,9.18,1.07,9.83,13.25,0.73,30.09,0.56,33.06
33.55,-115.05,sep,0.2011066210045662,6.42,8.73,1.12,8.64,16.27,0.72,27.73,0.48,29.23
33.55,-115.05,oct,0.1874288432267884,5.1,7.75,0.95,7.89,21.95,0.7,33.67,0.44,21.48
33.55,-115.05,nov,0.17334398782343988,3.95,7.25,0.85,7.06,24.43,0.7,27.56,0.0,17.34
33.55,-115.05,dec,0.15112488584474884,3.36,6.57,0.86,6.36,25.44,0.68,32.7,0.01,10.57
34.35,-118.65,jan,0.1844334474885845,3.32,6.3,0.88,6.01,35.58,0.64,65.17,1.82,7.83
34.35,-118.65,feb,0.2243886415525114,4.32,6.45,1.18,6.76,40.68,0.65,51.78,2.1,9.81
34.35,-118.65,mar,0.19518447488584476,4.78,6.62,1.83,5.35,58.22,0.57,71.65,2.62,7.43
34.35,-118.65,apr,0.2161947488584475,5.72,7.13,1.94,6.04,47.76,0.57,72.87,2.51,11.56
34.35,-118.65,may,0.25671438356164383,7.32,7.63,1.69,8.35,31.73,0.66,59.8,0.64,18.25
34.35,-118.65,jun,0.27932054794520544,7.86,8.22,1.65,9.05,25.7,0.68,44.22,0.0,24.1
34.35,-118.65,jul,0.27056974885844753,7.72,8.92,1.63,8.79,22.3,0.69,33.66,0.04,29.13
34.35,-118.65,aug,0.2782065639269406,7.71,7.85,0.94,10.42,8.38,0.75,35.59,0.01,24.6
34.35,-118.65,sep,0.2543785388127854,6.32,7.79,1.17,8.56,14.89,0.71,32.03,0.02,22.91
34.35,-118.65,oct,0.22280154109589045,4.83,7.04,0.94,7.68,24.0,0.68,48.3,0.18,15.64
34.35,-118.65,nov,0.2007877283105023,3.68,6.81,0.94,6.48,29.59,0.67,46.15,0.11,13.02
34.35,-118.65,dec,0.1785408105022831,3.08,6.31,0.85,5.94,32.77,0.65,53.43,0.76,7.93
34.05,-116.35,jan,0.212163698630137,3.67,6.14,0.79,7.0,31.21,0.7,44.36,0.3,7.96
34.05,-116.35,feb,0.2389793759512938,4.6,6.33,1.16,7.26,37.57,0.7,31.88,0.4,10.63
34.05,-116.35,mar,0.24209048706240485,5.33,6.58,1.87,6.04,51.26,0.63,54.62,0.49,8.76
34.05,-116.35,apr,0.3050545662100457,7.01,6.91,1.55,8.48,26.14,0.7,46.38,0.25,14.24
34.05,-116.35,may,0.32158097412480974,8.03,7.66,1.65,9.37,21.44,0.72,29.65,0.1,22.62
34.05,-116.35,jun,0.29273401826484025,8.06,8.35,1.73,9.2,24.95,0.7,21.65,0.04,28.19
34.05,-116.35,jul,0.2736185692541857,7.29,9.44,2.01,7.47,39.51,0.65,31.44,0.24,31.28
34.05,-116.35,aug,0.29361354642313553,7.74,8.26,1.0,10.34,8.14,0.75,24.2,0.15,28.48
34.05,-116.35,sep,0.27803858447488583,6.43,7.92,1.08,8.92,13.85,0.72,26.35,0.1,24.69
34.05,-116.35,oct,0.24641872146118723,4.94,7.08,1.02,7.73,23.04,0.69,36.0,0.12,16.93
34.05,-116.35,nov,0.22697617960426175,3.85,6.72,0.89,7.0,26.98,0.7,32.8,0.02,13.81
34.05,-116.35,dec,0.2044244292237443,3.25,6.12,0.81,6.43,27.95,0.68,36.89,0.12,7.58
34.05,-116.85,jan,0.2035415525114155,3.67,6.14,0.79,7.0,31.21,0.7,47.13,0.48,8.2
34.05,-116.85,feb,0.22071735159817352,4.6,6.33,1.16,7.26,37.57,0.7,37.59,0.7,10.29
34.05,-116.85,mar,0.20214648401826485,5.33,6.58,1.87,6.04,51.26,0.63,62.66,0.83,7.85
34.05,-116.85,apr,0.26847963470319636,7.01,6.91,1.55,8.48,26.14,0.7,58.45,0.53,12.35
34.05,-116.85,may,0.30065817351598173,8.03,7.66,1.65,9.37,21.44,0.72,42.29,0.14,20.03
34.05,-116.85,jun,0.2983763470319635,8.06,8.35,1.73,9.2,24.95,0.7,31.2,0.05,25.24
34.05,-116.85,jul,0.26458493150684936,7.29,9.44,2.01,7.47,39.51,0.65,36.15,0.3,29.02
